archname,devname,freq_MHz,pipe,precision,wlgroup,wlname,wlinstance,batch,opnum,opname,is_input_node,is_output_node,optype,op_rpt_count,attrs,inList,outList,input_tensors,output_tensors,weight_tensors,domain,opclass,removed,fused,fused_with_op,inElems,outElems,inBytes,outBytes,instrs,inParamCount,inActCount,outActCount,instr_count,compute_cycles,mem_rd_cycles,mem_wr_cycles,ramp_penalty,rsrc_bnck,ideal_cycles,ideal_msecs,cycles,matrix_cycles,vector_cycles,msecs,matrix_pipe_util,vector_pipe_util,mem_rd_util,mem_wr_util,memory_traffic,mem_util,uses_perf_lookup,fidelity,
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,0,ttsim.ttnn.Op_1,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_1', 'ttsim.ttnn.Tensor_2']",['ttsim.ttnn.Op_1.out'],ttsim.ttnn.Tensor_1[32x32]:float16;ttsim.ttnn.Tensor_2[32x32]:float16,ttsim.ttnn.Op_1.out[32x32]:float16,,,,FALSE,FALSE,,2048,1024,4096,2048,{'mac': 32768},0,2048,1024,32768,1,18,9,50,MEM,4128,0.004128,5160,1,0,0.00516,0.6,0,0,0,0,0,TRUE,LoFi,5160
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,0,ttsim.ttnn.Op_1,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_1', 'ttsim.ttnn.Tensor_2']",['ttsim.ttnn.Op_1.out'],ttsim.ttnn.Tensor_1[32x32]:float16;ttsim.ttnn.Tensor_2[32x32]:float16,ttsim.ttnn.Op_1.out[32x32]:float16,,,,FALSE,FALSE,,2048,1024,4096,2048,{'mac': 32768},0,2048,1024,32768,1,18,9,50,MEM,4128,0.004128,5160,1,0,0.00516,0.6,0,0,0,0,0,TRUE,HiFi2,5160
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,0,ttsim.ttnn.Op_1,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_1', 'ttsim.ttnn.Tensor_2']",['ttsim.ttnn.Op_1.out'],ttsim.ttnn.Tensor_1[32x32]:float16;ttsim.ttnn.Tensor_2[32x32]:float16,ttsim.ttnn.Op_1.out[32x32]:float16,,,,FALSE,FALSE,,2048,1024,4096,2048,{'mac': 32768},0,2048,1024,32768,1,18,9,50,MEM,4128,0.004128,5160,1,0,0.00516,0.6,0,0,0,0,0,TRUE,HiFi4,5160
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,1,ttsim.ttnn.Op_2,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_3', 'ttsim.ttnn.Tensor_4']",['ttsim.ttnn.Op_2.out'],ttsim.ttnn.Tensor_3[64x64]:float16;ttsim.ttnn.Tensor_4[64x64]:float16,ttsim.ttnn.Op_2.out[64x64]:float16,,,,FALSE,FALSE,,8192,4096,16384,8192,{'mac': 262144},0,8192,4096,262144,3,72,36,50,MEM,3720,0.00372,4650,3,0,0.00465,0.6,0,0,0,0,0,TRUE,LoFi,4650
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,1,ttsim.ttnn.Op_2,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_3', 'ttsim.ttnn.Tensor_4']",['ttsim.ttnn.Op_2.out'],ttsim.ttnn.Tensor_3[64x64]:float16;ttsim.ttnn.Tensor_4[64x64]:float16,ttsim.ttnn.Op_2.out[64x64]:float16,,,,FALSE,FALSE,,8192,4096,16384,8192,{'mac': 262144},0,8192,4096,262144,3,72,36,50,MEM,3720,0.00372,4650,3,0,0.00465,0.6,0,0,0,0,0,TRUE,HiFi2,4650
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,1,ttsim.ttnn.Op_2,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_3', 'ttsim.ttnn.Tensor_4']",['ttsim.ttnn.Op_2.out'],ttsim.ttnn.Tensor_3[64x64]:float16;ttsim.ttnn.Tensor_4[64x64]:float16,ttsim.ttnn.Op_2.out[64x64]:float16,,,,FALSE,FALSE,,8192,4096,16384,8192,{'mac': 262144},0,8192,4096,262144,3,72,36,50,MEM,3720,0.00372,4650,3,0,0.00465,0.6,0,0,0,0,0,TRUE,HiFi4,4650
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,2,ttsim.ttnn.Op_3,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_5', 'ttsim.ttnn.Tensor_6']",['ttsim.ttnn.Op_3.out'],ttsim.ttnn.Tensor_5[96x96]:float16;ttsim.ttnn.Tensor_6[96x96]:float16,ttsim.ttnn.Op_3.out[96x96]:float16,,,,FALSE,FALSE,,18432,9216,36864,18432,{'mac': 884736},0,18432,9216,884736,11,160,80,50,MEM,3720,0.00372,4650,11,0,0.00465,0.6,0,0,0,0,0,TRUE,LoFi,4650
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,2,ttsim.ttnn.Op_3,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_5', 'ttsim.ttnn.Tensor_6']",['ttsim.ttnn.Op_3.out'],ttsim.ttnn.Tensor_5[96x96]:float16;ttsim.ttnn.Tensor_6[96x96]:float16,ttsim.ttnn.Op_3.out[96x96]:float16,,,,FALSE,FALSE,,18432,9216,36864,18432,{'mac': 884736},0,18432,9216,884736,11,160,80,50,MEM,3720,0.00372,4650,11,0,0.00465,0.6,0,0,0,0,0,TRUE,HiFi2,4650
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,2,ttsim.ttnn.Op_3,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_5', 'ttsim.ttnn.Tensor_6']",['ttsim.ttnn.Op_3.out'],ttsim.ttnn.Tensor_5[96x96]:float16;ttsim.ttnn.Tensor_6[96x96]:float16,ttsim.ttnn.Op_3.out[96x96]:float16,,,,FALSE,FALSE,,18432,9216,36864,18432,{'mac': 884736},0,18432,9216,884736,11,160,80,50,MEM,3720,0.00372,4650,11,0,0.00465,0.6,0,0,0,0,0,TRUE,HiFi4,4650
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,3,ttsim.ttnn.Op_4,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_7', 'ttsim.ttnn.Tensor_8']",['ttsim.ttnn.Op_4.out'],ttsim.ttnn.Tensor_7[128x128]:float16;ttsim.ttnn.Tensor_8[128x128]:float16,ttsim.ttnn.Op_4.out[128x128]:float16,,,,FALSE,FALSE,,32768,16384,65536,32768,{'mac': 2097152},0,32768,16384,2097152,24,285,143,50,MEM,3720,0.00372,4650,24,0,0.00465,0.6,0,0,0,0,0,TRUE,LoFi,4650
