archname,devname,freq_MHz,pipe,precision,wlgroup,wlname,wlinstance,batch,opnum,opname,is_input_node,is_output_node,optype,op_rpt_count,attrs,inList,outList,input_tensors,output_tensors,weight_tensors,domain,opclass,removed,fused,fused_with_op,inElems,outElems,inBytes,outBytes,instrs,inParamCount,inActCount,outActCount,instr_count,compute_cycles,mem_rd_cycles,mem_wr_cycles,ramp_penalty,rsrc_bnck,ideal_cycles,ideal_msecs,cycles,matrix_cycles,vector_cycles,msecs,matrix_pipe_util,vector_pipe_util,mem_rd_util,mem_wr_util,memory_traffic,mem_util,uses_perf_lookup,fidelity
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,0,ttsim.ttnn.Op_1,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_1', 'ttsim.ttnn.Tensor_2']",['ttsim.ttnn.Op_1.out'],ttsim.ttnn.Tensor_1[32x32]:float16;ttsim.ttnn.Tensor_2[32x32]:float16,ttsim.ttnn.Op_1.out[32x32]:float16,,,,False,False,,2048,1024,4096,2048,{'mac': 32768},0,2048,1024,32768,1,18,9,50.0,MEM,77.0,7.7e-05,97.0,1,0,9.7e-05,0.0077922077922077,0.0,0.187012987012987,0.0935064935064935,0.0,0.0,False,LoFi
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,0,ttsim.ttnn.Op_1,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_1', 'ttsim.ttnn.Tensor_2']",['ttsim.ttnn.Op_1.out'],ttsim.ttnn.Tensor_1[32x32]:float16;ttsim.ttnn.Tensor_2[32x32]:float16,ttsim.ttnn.Op_1.out[32x32]:float16,,,,False,False,,2048,1024,4096,2048,{'mac': 32768},0,2048,1024,32768,1,18,9,50.0,MEM,77.0,7.7e-05,97.0,1,0,9.7e-05,0.0077922077922077,0.0,0.187012987012987,0.0935064935064935,0.0,0.0,False,HiFi2
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,0,ttsim.ttnn.Op_1,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_1', 'ttsim.ttnn.Tensor_2']",['ttsim.ttnn.Op_1.out'],ttsim.ttnn.Tensor_1[32x32]:float16;ttsim.ttnn.Tensor_2[32x32]:float16,ttsim.ttnn.Op_1.out[32x32]:float16,,,,False,False,,2048,1024,4096,2048,{'mac': 32768},0,2048,1024,32768,1,18,9,50.0,MEM,77.0,7.7e-05,97.0,1,0,9.7e-05,0.0077922077922077,0.0,0.187012987012987,0.0935064935064935,0.0,0.0,False,HiFi4
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,1,ttsim.ttnn.Op_2,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_3', 'ttsim.ttnn.Tensor_4']",['ttsim.ttnn.Op_2.out'],ttsim.ttnn.Tensor_3[64x64]:float16;ttsim.ttnn.Tensor_4[64x64]:float16,ttsim.ttnn.Op_2.out[64x64]:float16,,,,False,False,,8192,4096,16384,8192,{'mac': 262144},0,8192,4096,262144,3,72,36,50.0,MEM,158.0,0.000158,198.0,3,0,0.000198,0.0113924050632911,0.0,0.3645569620253164,0.1822784810126582,0.0,0.0,False,LoFi
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,1,ttsim.ttnn.Op_2,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_3', 'ttsim.ttnn.Tensor_4']",['ttsim.ttnn.Op_2.out'],ttsim.ttnn.Tensor_3[64x64]:float16;ttsim.ttnn.Tensor_4[64x64]:float16,ttsim.ttnn.Op_2.out[64x64]:float16,,,,False,False,,8192,4096,16384,8192,{'mac': 262144},0,8192,4096,262144,3,72,36,50.0,MEM,158.0,0.000158,198.0,3,0,0.000198,0.0113924050632911,0.0,0.3645569620253164,0.1822784810126582,0.0,0.0,False,HiFi2
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,1,ttsim.ttnn.Op_2,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_3', 'ttsim.ttnn.Tensor_4']",['ttsim.ttnn.Op_2.out'],ttsim.ttnn.Tensor_3[64x64]:float16;ttsim.ttnn.Tensor_4[64x64]:float16,ttsim.ttnn.Op_2.out[64x64]:float16,,,,False,False,,8192,4096,16384,8192,{'mac': 262144},0,8192,4096,262144,3,72,36,50.0,MEM,158.0,0.000158,198.0,3,0,0.000198,0.0113924050632911,0.0,0.3645569620253164,0.1822784810126582,0.0,0.0,False,HiFi4
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,2,ttsim.ttnn.Op_3,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_5', 'ttsim.ttnn.Tensor_6']",['ttsim.ttnn.Op_3.out'],ttsim.ttnn.Tensor_5[96x96]:float16;ttsim.ttnn.Tensor_6[96x96]:float16,ttsim.ttnn.Op_3.out[96x96]:float16,,,,False,False,,18432,9216,36864,18432,{'mac': 884736},0,18432,9216,884736,11,160,80,50.0,MEM,290.0,0.00029,363.0,11,0,0.000363,0.0227586206896551,0.0,0.4413793103448276,0.2206896551724138,0.0,0.0,False,LoFi
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,2,ttsim.ttnn.Op_3,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_5', 'ttsim.ttnn.Tensor_6']",['ttsim.ttnn.Op_3.out'],ttsim.ttnn.Tensor_5[96x96]:float16;ttsim.ttnn.Tensor_6[96x96]:float16,ttsim.ttnn.Op_3.out[96x96]:float16,,,,False,False,,18432,9216,36864,18432,{'mac': 884736},0,18432,9216,884736,11,160,80,50.0,MEM,290.0,0.00029,363.0,11,0,0.000363,0.0227586206896551,0.0,0.4413793103448276,0.2206896551724138,0.0,0.0,False,HiFi2
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,2,ttsim.ttnn.Op_3,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_5', 'ttsim.ttnn.Tensor_6']",['ttsim.ttnn.Op_3.out'],ttsim.ttnn.Tensor_5[96x96]:float16;ttsim.ttnn.Tensor_6[96x96]:float16,ttsim.ttnn.Op_3.out[96x96]:float16,,,,False,False,,18432,9216,36864,18432,{'mac': 884736},0,18432,9216,884736,11,160,80,50.0,MEM,290.0,0.00029,363.0,11,0,0.000363,0.0227586206896551,0.0,0.4413793103448276,0.2206896551724138,0.0,0.0,False,HiFi4
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,3,ttsim.ttnn.Op_4,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_7', 'ttsim.ttnn.Tensor_8']",['ttsim.ttnn.Op_4.out'],ttsim.ttnn.Tensor_7[128x128]:float16;ttsim.ttnn.Tensor_8[128x128]:float16,ttsim.ttnn.Op_4.out[128x128]:float16,,,,False,False,,32768,16384,65536,32768,{'mac': 2097152},0,32768,16384,2097152,24,285,143,50.0,MEM,478.0,0.0004779999999999,598.0,24,0,0.000598,0.0301255230125523,0.0,0.4769874476987448,0.2393305439330544,0.0,0.0,False,LoFi
